Month,Day,Year,PDF Link
August,13,2015,/wp-content/uploads/2020/07/aspc_08132015.pdf
July,9,2015,/wp-content/uploads/2020/07/aspc_07092915.pdf
June,11,2015,/wp-content/uploads/2020/07/aspc_06112015.pdf
May,14,2015,/wp-content/uploads/2020/07/aspc_05142015.pdf
April,25,2015,/wp-content/uploads/2020/07/aspc_04252015.pdf
April,24,2015,/wp-content/uploads/2020/07/aspc_04242015.pdf
April,9,2015,/wp-content/uploads/2020/07/aspc_04092015.pdf
March,12,2015,/wp-content/uploads/2020/07/aspc_03122015.pdf
February,12,2015,/wp-content/uploads/2020/07/aspc_02122015.pdf
January,7,2015,/wp-content/uploads/2020/07/aspc_01072015.pdf
December,11,2014,/wp-content/uploads/2020/07/aspc_12112014.pdf
November,13,2014,/wp-content/uploads/2020/07/aspc_11132014.pdf
October,9,2014,/wp-content/uploads/2020/07/aspc_10092014.pdf
September,10,2014,/wp-content/uploads/2020/07/aspc_09102014.pdf
August,14,2014,/wp-content/uploads/2020/07/aspc_08142014.pdf
August,7,2014,/wp-content/uploads/2020/07/August_7_2014-1.pdf
July,10,2014,/wp-content/uploads/2020/07/July_10_2014-1.pdf
June,5,2014,/wp-content/uploads/2020/07/aspc_06052014.pdf
May,8,2014,/wp-content/uploads/2020/07/aspc_05082014.pdf
April,17,2014,/wp-content/uploads/2020/07/aspc_04172014.pdf
March,13,2014,/wp-content/uploads/2020/07/aspc_03132014.pdf
February,28,2014,/wp-content/uploads/2020/07/aspc_02282014.pdf
January,30,2014,/wp-content/uploads/2020/07/aspc_01302014.pdf
December,12,2013,/wp-content/uploads/2020/07/aspc_12122013.pdf
November,14,2013,/wp-content/uploads/2020/07/aspc_11142013.pdf
October,10,2013,/wp-content/uploads/2020/07/aspc_10102013.pdf
September,12,2013,/wp-content/uploads/2020/07/aspc_09122013.pdf
August,8,2013,/wp-content/uploads/2020/07/aspc_08082013.pdf
August,5,2013,/wp-content/uploads/2020/07/aspc_08052013.pdf
July,11,2013,/wp-content/uploads/2020/07/aspc_07112013.pdf
June,6,2013,/wp-content/uploads/2020/07/aspc_06062013.pdf
June,3,2013,/wp-content/uploads/2020/07/aspc_06032013.pdf
May,9,2013,/wp-content/uploads/2020/07/aspc_05092013.pdf
April,11,2013,/wp-content/uploads/2020/07/aspc_04112013.pdf
March,14,2013,/wp-content/uploads/2020/07/aspc_03142013.pdf
February,14,2013,/wp-content/uploads/2020/07/aspc_02142013.pdf
